Cell_Type,Method,Trait,Gene,PP_H0,PP_H1,PP_H2,PP_H3,PP_H4,File
NK,ssq,tanning,ENSG00000100376,2.13005604941186e-42,3.18084240217184e-41,0.0623716511427459,0.931398334213124,0.00623001464413246,coloc_results_NK_ssq_tanning.rds
NK,ssq,tanning,ENSG00000100321,2.49266000309244e-07,8.58627317411266e-07,0.220060965942345,0.758005060866667,0.0219328652976708,coloc_results_NK_ssq_tanning.rds
NK,dm,sarcoidosis,ENSG00000166435,2.29300047094815e-05,7.16387598763053e-05,0.236525685435878,0.738937760517575,0.0244419852819622,coloc_results_NK_dm_sarcoidosis.rds
Mono_NC,ssq,tanning,ENSG00000084207,0.000334077054172282,0.000591004491095532,0.348242016715763,0.616028445913487,0.0348044558254824,coloc_results_Mono_NC_ssq_tanning.rds
CD8_S100B,ssq,ra,ENSG00000231500,8.15603391239656e-126,1.45815843927304e-125,0.339464067389658,0.606881605256631,0.0536543273537182,coloc_results_CD8_S100B_ssq_ra.rds
CD8_S100B,ssq,psoriasis,ENSG00000231500,1.90875477231533e-277,3.41252489831355e-277,0.339133091279206,0.606289503609474,0.0545774051113686,coloc_results_CD8_S100B_ssq_psoriasis.rds
CD4_ET,ssq,sarcoidosis,ENSG00000231500,1.60083576850324e-20,2.84292514325378e-20,0.340717555659429,0.605058567762284,0.0542238765782891,coloc_results_CD4_ET_ssq_sarcoidosis.rds
CD4_ET,ssq,psoriasis,ENSG00000231500,1.91484885290737e-277,3.40058115677334e-277,0.340215841363008,0.604167009539696,0.0556171490973186,coloc_results_CD4_ET_ssq_psoriasis.rds
NK,ssq,ra,ENSG00000231500,8.60164145418176e-126,1.40668966035973e-125,0.358010796132901,0.585458509091721,0.0565306947753822,coloc_results_NK_ssq_ra.rds
NK,ssq,psoriasis,ENSG00000231500,2.01387299668333e-277,3.29343455758092e-277,0.357809701232856,0.585129429385045,0.0570608693821008,coloc_results_NK_ssq_psoriasis.rds
